no,topic,description,example
1,Addition,"Addition: concept explanation, key properties, and mathematical context.",Example: 3/4 + 2/5 = (15+8)/20 = 23/20 = 1.15.
2,Subtraction,"Subtraction: concept explanation, key properties, and mathematical context.",Example: 3/4 + 2/5 = (15+8)/20 = 23/20 = 1.15.
3,Multiplication,"Multiplication: concept explanation, key properties, and mathematical context.",Example: 3/4 + 2/5 = (15+8)/20 = 23/20 = 1.15.
4,Division,"Division: concept explanation, key properties, and mathematical context.",Example: 3/4 + 2/5 = (15+8)/20 = 23/20 = 1.15.
5,Fractions,"Fractions: concept explanation, key properties, and mathematical context.",Example: 3/4 + 2/5 = (15+8)/20 = 23/20 = 1.15.
6,Decimals,"Decimals: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
7,Percentages,"Percentages: concept explanation, key properties, and mathematical context.",Example: 20% of 150 = 0.2 × 150 = 30.
8,Ratios,"Ratios: concept explanation, key properties, and mathematical context.",Example: 2:3 = 4:6 shows proportionality.
9,Proportion,"Proportion: concept explanation, key properties, and mathematical context.",Example: 2:3 = 4:6 shows proportionality.
10,Powers,"Powers: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
11,Roots,"Roots: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
12,Exponents,"Exponents: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
13,Logarithms,"Logarithms: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
14,Linear Equation,"Linear Equation: concept explanation, key properties, and mathematical context.","Example: Solve x² - 5x + 6 = 0 → x=2,3."
15,Quadratic Equation,"Quadratic Equation: concept explanation, key properties, and mathematical context.","Example: Solve x² - 5x + 6 = 0 → x=2,3."
16,Polynomial Functions,"Polynomial Functions: concept explanation, key properties, and mathematical context.","Example: Solve x² - 5x + 6 = 0 → x=2,3."
17,Inequalities,"Inequalities: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
18,Systems of Equations,"Systems of Equations: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
19,Matrices,"Matrices: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
20,Determinant,"Determinant: concept explanation, key properties, and mathematical context.","Example: det([[2,3],[1,4]]) = 2*4 - 3*1 = 5."
21,Vector Algebra,"Vector Algebra: concept explanation, key properties, and mathematical context.","Example: a=(2,3), b=(1,4); dot=a·b=2*1+3*4=14."
22,Complex Numbers,"Complex Numbers: concept explanation, key properties, and mathematical context.",Example: (2+3i)+(1−5i)=3−2i; |z|=√(a²+b²).
23,Sequence and Series,"Sequence and Series: concept explanation, key properties, and mathematical context.","Example: Arithmetic series Sₙ=n(a₁+aₙ)/2; for 1+2+3+...+10, S₁₀=55."
24,Binomial Theorem,"Binomial Theorem: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
25,Permutations,"Permutations: concept explanation, key properties, and mathematical context.","Example: P(5,2)=20; C(5,2)=10."
26,Combinations,"Combinations: concept explanation, key properties, and mathematical context.","Example: P(5,2)=20; C(5,2)=10."
27,Triangles,"Triangles: concept explanation, key properties, and mathematical context.",Example: Area of triangle = ½bh = ½×5×8 = 20.
28,Circles,"Circles: concept explanation, key properties, and mathematical context.",Example: Area of triangle = ½bh = ½×5×8 = 20.
29,Polygons,"Polygons: concept explanation, key properties, and mathematical context.",Example: Area of triangle = ½bh = ½×5×8 = 20.
30,Coordinate Geometry,"Coordinate Geometry: concept explanation, key properties, and mathematical context.",Example: Area of triangle = ½bh = ½×5×8 = 20.
31,Conic Sections,"Conic Sections: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
32,Ellipse,"Ellipse: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
33,Parabola,"Parabola: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
34,Hyperbola,"Hyperbola: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
35,Mensuration,"Mensuration: concept explanation, key properties, and mathematical context.",Example: 2:3 = 4:6 shows proportionality.
36,Trigonometry,"Trigonometry: concept explanation, key properties, and mathematical context.",Example: sin(30°)=½; cos(60°)=½; tan(45°)=1.
37,Sine Rule,"Sine Rule: concept explanation, key properties, and mathematical context.",Example: sin(30°)=½; cos(60°)=½; tan(45°)=1.
38,Cosine Rule,"Cosine Rule: concept explanation, key properties, and mathematical context.",Example: sin(30°)=½; cos(60°)=½; tan(45°)=1.
39,Tangents,"Tangents: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
40,Area and Perimeter,"Area and Perimeter: concept explanation, key properties, and mathematical context.",Example: Area of triangle = ½bh = ½×5×8 = 20.
41,Limits,"Limits: concept explanation, key properties, and mathematical context.",Example: limₓ→0 (sinx/x)=1.
42,Continuity,"Continuity: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
43,Differentiation,"Differentiation: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
44,Integration,"Integration: concept explanation, key properties, and mathematical context.",Example: 2:3 = 4:6 shows proportionality.
45,Differential Equations,"Differential Equations: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
46,Partial Derivatives,"Partial Derivatives: concept explanation, key properties, and mathematical context.",Example: d/dx(x³+2x)=3x²+2.
47,Gradient,"Gradient: concept explanation, key properties, and mathematical context.","Example: F=(x²,y²,0); divF=∂x+∂y=2x+2y."
48,Divergence,"Divergence: concept explanation, key properties, and mathematical context.","Example: F=(x²,y²,0); divF=∂x+∂y=2x+2y."
49,Curl,"Curl: concept explanation, key properties, and mathematical context.","Example: F=(x²,y²,0); divF=∂x+∂y=2x+2y."
50,Line Integral,"Line Integral: concept explanation, key properties, and mathematical context.",Example: ∫x²dx = x³/3 + C.
51,Surface Integral,"Surface Integral: concept explanation, key properties, and mathematical context.",Example: ∫x²dx = x³/3 + C.
52,Taylor Series,"Taylor Series: concept explanation, key properties, and mathematical context.","Example: Arithmetic series Sₙ=n(a₁+aₙ)/2; for 1+2+3+...+10, S₁₀=55."
53,Maclaurin Series,"Maclaurin Series: concept explanation, key properties, and mathematical context.","Example: Arithmetic series Sₙ=n(a₁+aₙ)/2; for 1+2+3+...+10, S₁₀=55."
54,Mean,"Mean: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
55,Median,"Median: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
56,Mode,"Mode: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
57,Variance,"Variance: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
58,Standard Deviation,"Standard Deviation: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
59,Probability,"Probability: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
60,Conditional Probability,"Conditional Probability: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
61,Bayes Theorem,"Bayes Theorem: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
62,Random Variables,"Random Variables: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
63,Binomial Distribution,"Binomial Distribution: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
64,Normal Distribution,"Normal Distribution: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
65,Poisson Distribution,"Poisson Distribution: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
66,Hypothesis Testing,"Hypothesis Testing: concept explanation, key properties, and mathematical context.",Example: t-test: μ₁=μ₂? Compute t=(x̄₁−x̄₂)/SE; compare to t_crit.
67,Regression,"Regression: concept explanation, key properties, and mathematical context.",Example: Simple linear regression y=2x+1; for x=3→ŷ=7.
68,Correlation,"Correlation: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
69,ANOVA,"ANOVA: concept explanation, key properties, and mathematical context.",Example: t-test: μ₁=μ₂? Compute t=(x̄₁−x̄₂)/SE; compare to t_crit.
70,Vector Calculus,"Vector Calculus: concept explanation, key properties, and mathematical context.","Example: a=(2,3), b=(1,4); dot=a·b=2*1+3*4=14."
71,Laplace Transform,"Laplace Transform: concept explanation, key properties, and mathematical context.",Example: L{sin(t)}=1/(s²+1).
72,Fourier Transform,"Fourier Transform: concept explanation, key properties, and mathematical context.",Example: f(x)=sinx→Fourier transform F(ω)=π[i(δ(ω−1)−δ(ω+1))].
73,Complex Integration,"Complex Integration: concept explanation, key properties, and mathematical context.",Example: 2:3 = 4:6 shows proportionality.
74,Residue Theorem,"Residue Theorem: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
75,Linear Algebra,"Linear Algebra: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
76,Eigenvalues,"Eigenvalues: concept explanation, key properties, and mathematical context.","Example: For A=[[2,0],[0,3]], eigenvalues λ₁=2, λ₂=3."
77,Eigenvectors,"Eigenvectors: concept explanation, key properties, and mathematical context.","Example: a=(2,3), b=(1,4); dot=a·b=2*1+3*4=14."
78,Diagonalization,"Diagonalization: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
79,Singular Value Decomposition,"Singular Value Decomposition: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
80,Matrix Decomposition,"Matrix Decomposition: concept explanation, key properties, and mathematical context.","Example: det([[2,3],[1,4]]) = 2*4 - 3*1 = 5."
81,Numerical Methods,"Numerical Methods: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
82,Optimization,"Optimization: concept explanation, key properties, and mathematical context.",Example: Minimize f(x)=x²+2x → df/dx=2x+2=0 → x=−1.
83,Gradient Descent,"Gradient Descent: concept explanation, key properties, and mathematical context.","Example: F=(x²,y²,0); divF=∂x+∂y=2x+2y."
84,Set Theory,"Set Theory: concept explanation, key properties, and mathematical context.","Example: A={1,2,3},B={2,3,4}; A∩B={2,3}, A∪B={1,2,3,4}."
85,Logic,"Logic: concept explanation, key properties, and mathematical context.","Example: A={1,2,3},B={2,3,4}; A∩B={2,3}, A∪B={1,2,3,4}."
86,Boolean Algebra,"Boolean Algebra: concept explanation, key properties, and mathematical context.","Example: A={1,2,3},B={2,3,4}; A∩B={2,3}, A∪B={1,2,3,4}."
87,Graph Theory,"Graph Theory: concept explanation, key properties, and mathematical context.",Example: BFS explores nodes level-wise; for adjacency list traversal O(V+E).
88,Tree Traversal,"Tree Traversal: concept explanation, key properties, and mathematical context.",Example: BFS explores nodes level-wise; for adjacency list traversal O(V+E).
89,Shortest Path,"Shortest Path: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
90,Combinatorics,"Combinatorics: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
91,Counting Principles,"Counting Principles: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
92,Recurrence Relations,"Recurrence Relations: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
93,Generating Functions,"Generating Functions: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
94,Automata Theory,"Automata Theory: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
